Date,doy,Aquifer,PE,month,mday,is_holiday,wday,API,lagAPI,Tmax,Tmaxlag1,Sun,Sunlag1,WVRain,KerburnRain,Rain_L7DAYS,Rain_L6DAYS,Rain_L5DAYS,Rain_L4DAYS,Rain_L3DAYS,Rain_L2DAYS,Season,Rainlag1,Rainlag2,Rainlag3,PElag1,PElag2,PElag3,ANcyc,storage,Storagelag1,Wellington High Moa fTemp,Wellington High Moa fPrecp,Wellington High Moa cm,Wellington High Moa stat,Wellington High Moa,Restriction level
05/10/2024,279,5.0,3,10,31,0,5,14.031292308389878,11.289115385487346,17,17.0,9.3,10.4,0.0,2,8.999999999999979,9.00000000000005,9.000000000000043,8.999999999999964,6.200000000000188,2.200000000000075,3,2.2,4.0,2.8,3.0,2.0,3.0,0.07309512989807687,13.985111829832306,11.546385208131351,0.9562057595483794,0.9951672512529418,0.9340139196593192,203,0.0,0.0
06/10/2024,280,7.6,2,10,31,0,6,18.825033846711904,14.031292308389878,15,17.0,1.8,9.3,1.2857142857142858,27,13.99999999999998,14.000000000000052,14.00000000000004,11.199999999999962,7.200000000000189,5.000000000000075,3,5.0,2.2,4.0,3.0,3.0,2.0,0.0902516100310407,18.338272523355087,13.985111829832306,0.8954183137021474,0.9955965018222447,0.9340139196593192,189,0.0,0.0
07/10/2024,281,4.6,2,10,31,0,0,19.660027077369524,18.825033846711904,16,15.0,3.7,1.8,14.761904761904763,0,21.59999999999998,21.60000000000005,18.80000000000004,14.799999999999963,12.600000000000188,7.600000000000074,3,7.6,5.0,2.2,2.0,3.0,3.0,0.10738134666416217,19.18330035240219,18.338272523355087,0.9251270997870064,0.9955965018222447,0.9340139196593192,226,0.0,0.0
08/10/2024,282,3.6,3,10,31,0,1,19.32802166189562,19.660027077369524,15,16.0,3.1,3.7,3.0,0,26.199999999999978,23.40000000000005,19.400000000000038,17.199999999999964,12.20000000000019,4.600000000000074,3,4.6,7.6,5.0,2.0,2.0,3.0,0.12447926388678869,18.968804388639683,19.18330035240219,0.8954183137021474,0.9958853165229323,0.9340139196593192,193,0.0,0.0
09/10/2024,283,4.8,4,10,31,0,2,20.262417329516495,19.32802166189562,15,15.0,11.9,3.1,5.333333333333333,0,26.999999999999975,23.000000000000046,20.80000000000004,15.799999999999965,8.200000000000188,3.600000000000075,3,3.6,4.6,7.6,3.0,2.0,2.0,0.141540295217043,19.880805428228328,18.968804388639683,0.8954183137021474,1.0,0.9340139196593192,247,0.0,0.0
10/10/2024,284,3.0,3,10,31,0,3,19.209933863613198,20.262417329516495,12,15.0,8.1,11.9,3.5714285714285716,3,27.799999999999976,25.60000000000005,20.60000000000004,12.999999999999964,8.400000000000187,4.800000000000075,3,4.8,3.6,4.6,4.0,3.0,2.0,0.15855938510313475,18.99606550388048,19.880805428228328,0.8153824939063725,0.9995223372731967,0.9340139196593192,256,0.0,0.0
11/10/2024,285,1.4,3,10,31,0,4,16.76794709089056,19.209933863613198,15,12.0,12.0,8.1,0.0,0,28.59999999999998,23.60000000000005,16.000000000000043,11.399999999999965,7.800000000000187,3.000000000000075,3,3.0,4.8,3.6,3.0,4.0,3.0,0.17553149042142777,16.821547743964864,18.99606550388048,0.8954183137021474,0.9995223372731967,0.9340139196593192,200,0.0,0.0
12/10/2024,286,0.0,3,10,31,0,5,13.414357672712448,16.76794709089056,16,15.0,11.9,12.0,0.0,6,24.99999999999998,17.40000000000005,12.800000000000042,9.199999999999966,4.400000000000189,1.4000000000000745,3,1.4,3.0,4.8,3.0,3.0,4.0,0.19245158197082995,13.772318452353579,16.821547743964864,0.9251270997870064,0.9985827083893201,0.9340139196593192,172,0.0,0.0
13/10/2024,287,39.4,2,10,31,0,6,50.13148613816996,13.414357672712448,12,16.0,0.1,11.9,0.23809523809523808,3,17.399999999999977,12.800000000000047,9.200000000000038,4.399999999999963,1.4000000000001904,7.815970093361102e-14,3,0.0,1.4,3.0,3.0,3.0,3.0,0.209314645963048,46.98586230176281,13.772318452353579,0.8153824939063725,0.9985827083893201,0.9340139196593192,157,0.0,0.0
14/10/2024,288,25.4,1,10,31,0,0,65.50518891053596,50.13148613816996,11,12.0,1.0,0.1,37.04761904761905,0,52.19999999999997,48.60000000000006,43.80000000000005,40.79999999999996,39.40000000000018,39.40000000000007,3,39.4,0.0,1.4,2.0,3.0,3.0,0.22611568550828803,61.489964785436925,46.98586230176281,0.7918856882837011,0.9985827083893201,0.9340139196593192,133,0.0,0.0
