Date,Lower Hutt,Petone,Wainuiomata,Upper Hutt,Porirua,Wellington High (Moa),Wellington High (Western),Wellington Low Level,North Wellington (Moa),North Wellington (Porirua)
2009-01-02,207.4638722,210.569514,159.0469442,174.6333207,177.7147014,128.4280806,128.8122077,198.1145471,190.8586849,184.5663599
2009-01-03,201.719236,189.1078697,165.4686005,153.3848314,199.861866,148.4807257,148.9240684,217.7309988,186.8290496,180.6720839
2009-01-04,286.435237,254.5918161,215.8680407,234.7301561,249.2991168,228.9364258,229.6188236,256.0515625,240.7653726,232.8341636
2009-01-05,279.4141423,353.2479654,225.273565,232.0706604,235.9503267,317.5828964,318.5278964,308.3145174,252.3107231,244.0025784
2009-01-06,283.1944851,285.9929167,197.774329,225.735141,229.0515543,297.7108147,298.5951563,285.7247603,238.2390024,230.3974127
2009-01-07,281.997937,295.204244,194.2371367,225.8415953,214.9171982,317.5086621,318.4501842,281.3307617,222.5503272,215.2281147
2009-01-08,345.7232255,361.7821713,242.0239354,301.4451128,260.5382878,332.6042912,333.5888711,282.4896507,258.4402707,249.9406987
2009-01-09,281.2589487,309.5634509,201.9626237,207.0641353,233.8217248,265.5688668,266.3536455,281.6529053,204.2052259,197.4920747
2009-01-10,249.44156,239.0952219,183.1741337,196.8584039,205.9534792,201.1365855,201.7299298,240.0678222,199.4216513,192.8684347
2009-01-11,261.0278489,291.1387742,219.578258,236.6690247,222.774375,213.176463,213.8042311,242.8191254,236.1126945,228.3569387
2009-01-12,311.4087491,295.4205055,206.7061237,245.3013958,266.9567966,336.2068243,337.1951716,301.2488585,265.2601786,256.5505556
2009-01-13,323.2047313,408.4260444,252.4139667,267.3363993,262.8375263,349.5010045,350.5266405,311.5452037,250.4567705,242.2365681
2009-01-14,338.6753579,220.7322689,240.8137305,265.2833719,253.5938065,400.4698532,401.6430074,312.9774127,252.8939515,244.5971529
2009-01-15,332.8458877,460.5037384,255.9147067,298.5674864,281.2900989,347.5957966,348.6122768,283.8070242,269.2877399,260.4567174
2009-01-16,330.8237096,383.7507973,252.8954629,269.0716358,259.3518432,335.8960142,336.8765582,308.4215164,233.2139447,225.569056
2009-01-17,276.2311958,287.4918678,224.4399045,236.7681113,244.8454287,236.6408564,237.3304425,274.7104215,221.7687247,214.5019932
2009-01-18,232.3713224,223.3330701,170.4607509,187.0669731,198.8272015,135.5555052,135.9498273,227.8974382,203.6200655,196.9507464
