Date,doy,Aquifer,PE,month,mday,is_holiday,wday,API,lagAPI,Tmax,Tmaxlag1,Sun,Sunlag1,WVRain,KerburnRain,Rain_L7DAYS,Rain_L6DAYS,Rain_L5DAYS,Rain_L4DAYS,Rain_L3DAYS,Rain_L2DAYS,Season,Rainlag1,Rainlag2,Rainlag3,PElag1,PElag2,PElag3,ANcyc,storage,Storagelag1,Lower Hutt fTemp,Lower Hutt fPrecp,Lower Hutt cm,Lower Hutt stat,Lower Hutt,Restriction level
23/12/2024,358,1.2,5,12,31,0,0,26.028803060697438,31.036003825871795,21,20.0,4.6,3.4,1.1428571428571428,0,46.199999999999974,40.80000000000005,37.400000000000034,20.999999999999964,12.400000000000192,4.600000000000071,4,4.6,7.8,8.6,5.0,3.0,0.0,0.9905324521322227,25.597301097892657,29.93619761346142,0.7788431486222019,0.8831821101045145,1.0517382311634835,232,0.0,0.0
24/12/2024,359,0.0,5,12,31,0,1,20.823042448557953,26.028803060697438,22,21.0,9.3,4.6,0.0,2,41.99999999999997,38.60000000000005,22.200000000000042,13.599999999999964,5.800000000000192,1.200000000000071,4,1.2,4.6,7.8,5.0,5.0,3.0,0.9927487224577402,20.957297604641507,25.597301097892657,0.7956172785149291,0.8165237836652541,1.0517382311634835,218,0.0,0.0
25/12/2024,360,3.6,4,12,31,1,2,20.258433958846364,20.823042448557953,22,22.0,7.3,9.3,0.0,0,38.59999999999997,22.200000000000053,13.600000000000042,5.799999999999963,1.2000000000001916,7.105427357601002e-14,4,0.0,1.2,4.6,5.0,5.0,5.0,0.9946708199115211,20.421230494923854,20.957297604641507,0.7956172785149291,0.8831821101045145,1.0517382311634835,198,0.0,0.0
26/12/2024,361,5.4,3,12,31,1,3,21.606747167077096,20.258433958846364,18,22.0,0.0,7.3,11.047619047619047,1,25.799999999999976,17.200000000000053,9.400000000000041,4.799999999999963,3.6000000000001915,3.6000000000000707,4,3.6,0.0,1.2,4.0,5.0,5.0,0.9962981749346077,21.613759088782547,20.421230494923854,0.7299261605458265,0.8452086449288466,1.0517382311634835,147,0.0,0.0
27/12/2024,362,2.8,4,12,31,0,4,20.08539773366168,21.606747167077096,16,18.0,6.2,0.0,17.904761904761905,0,22.59999999999998,14.800000000000058,10.200000000000042,8.999999999999964,9.000000000000192,5.4000000000000705,4,5.4,3.6,0.0,3.0,4.0,5.0,0.9976303053065857,20.233618712513262,21.613759088782547,0.699199162069106,0.9334519735072657,1.0517382311634835,133,0.0,0.0
28/12/2024,363,0.0,6,12,31,0,5,16.068318186929343,20.08539773366168,20,16.0,10.9,6.2,0.0,0,17.59999999999998,13.000000000000057,11.800000000000043,11.799999999999965,8.200000000000191,2.800000000000071,4,2.8,5.4,3.6,4.0,3.0,4.0,0.9986668162884759,16.565885885988727,20.233618712513262,0.7622519010210416,0.9334519735072657,1.0517382311634835,170,0.0,0.0
29/12/2024,364,0.0,5,12,31,0,6,12.854654549543476,16.068318186929343,22,20.0,8.6,10.9,0.0,0,12.999999999999979,11.800000000000058,11.800000000000043,8.199999999999964,2.8000000000001917,0.0,4,0.0,2.8,5.4,6.0,4.0,3.0,0.9994074007397048,13.563000226839462,16.565885885988727,0.7956172785149291,1.0,1.0517382311634835,174,0.0,0.0
30/12/2024,365,5.6,4,12,31,0,0,15.88372363963478,12.854654549543476,20,22.0,0.8,8.6,0.0,0,11.799999999999978,11.800000000000056,8.200000000000044,2.7999999999999634,1.9184653865522705e-13,7.105427357601002e-14,4,0.0,0.0,2.8,5.0,6.0,4.0,0.9998518392091162,16.17998430353362,13.563000226839462,0.7622519010210416,1.0,1.0517382311634835,143,0.0,0.0
31/12/2024,366,16.0,2,12,31,0,1,28.706978911707825,15.88372363963478,15,20.0,0.4,0.8,15.333333333333334,0,17.399999999999977,13.800000000000054,8.400000000000041,5.599999999999962,5.600000000000193,5.6000000000000725,4,5.6,0.0,0.0,4.0,5.0,6.0,1.0,27.74859048738346,16.17998430353362,0.6845795512362581,1.0,1.0517382311634835,130,0.0,0.0
01/01/2025,1,19.0,2,1,31,1,2,41.965583129366266,28.706978911707825,15,15.0,1.2,0.4,1.2857142857142858,0,29.799999999999976,24.400000000000055,21.600000000000037,21.599999999999966,21.600000000000193,16.00000000000007,4,16.0,5.6,0.0,2.0,4.0,5.0,0.9998518392091162,39.939202844179704,27.74859048738346,0.6845795512362581,1.0,1.1314196997147368,139,0.0,0.0
